id;title;image;approval;description;weights;review_ready
1;The Hateful Eight;/content/images/movies/1.jpg;100;The Hateful Eight is a 2015 American western mystery film written and directed by Quentin Tarantino.;[];false
2;Zoolander No.2;/content/images/movies/2.jpg;100;Zoolander 2 (also known as Zoolander No. 2 and 2oolander) is a 2016 American comedy film directed by Ben Stiller and written by John Hamburg, Justin Theroux, Stiller and Nick Stoller.;[];false
3;The Shawshank Redemption;/content/images/movies/3.jpg;100;Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.;[];false
4;The Godfather;/content/images/movies/4.jpg;100;The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.;[];false
5;The Godfather: Part II;/content/images/movies/5.jpg;100;The early life and career of Vito Corleone in 1920s New York is portrayed while his son, Michael, expands and tightens his grip on his crime syndicate stretching from Lake Tahoe, Nevada to pre-revolution 1958 Cuba.;[];false
6;The Dark Knight;/content/images/movies/6.jpg;100;When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.;[];false
7;12 Angry Men;/content/images/movies/7.jpg;100;A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.;[];false
8;Schindler's List;/content/images/movies/8.jpg;100;In Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.;[];false
9;The Lord of the Rings: The Return of the King;/content/images/movies/9.jpg;100;Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.;[];false
10;Pulp Fiction;/content/images/movies/10.jpg;100;The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.;[];false
11;The Good, the Bad and the Ugly;/content/images/movies/11.jpg;100;A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.;[];false
12;Fight Club;/content/images/movies/12.jpg;100;An insomniac office worker, looking for a way to change his life, crosses paths with a devil-may-care soap maker, forming an underground fight club that evolves into something much, much more...;[];false
13;The Lord of the Rings: The Fellowship of the Ring;/content/images/movies/13.jpg;100;A meek Hobbit and eight companions set out on a journey to destroy the One Ring and the Dark Lord Sauron.;[];false
14;Inception;/content/images/movies/14.jpg;100;A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.;[];false
15;Forrest Gump;/content/images/movies/15.jpg;100;Forrest Gump, while not intelligent, has accidentally been present at many historic moments, but his true love, Jenny Curran, eludes him.;[];false
16;Star Wars: Episode V - The Empire Strikes Back;/content/images/movies/16.jpg;100;After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke.;[];false
17;The Lord of the Rings: The Two Towers;/content/images/movies/17.jpg;100;While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.;[];false
18;One Flew Over the Cuckoo's Nest;/content/images/movies/18.jpg;100;A criminal pleads insanity after getting into trouble again and once in the mental institution rebels against the oppressive nurse and rallies up the scared patients.;[];false
19;Goodfellas;/content/images/movies/19.jpg;100;Henry Hill and his friends work their way up through the mob hierarchy.;[];false
